company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,fondata_nel,tipo,settore,segmento,entrate
So. Farma. Morra Spa,Sviluppatore di Software,Nola,,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1220&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_80e3278f&cb=1676371301702&jobListingId=1008449146557&cpc=87034903B3AB482B&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-c087d770a69bf214--6NYlbfkN0BsuZjmKUot0tZdTClGKEaOSYgu4wKz6gE-tsrJG1pJSxE9HL8vvazbt1LoMuoUmQVCFYys49PhKG50vNJcQkI2Cm_uDrYtLURzYnbDEVRyOwPtBRHgz0IKln9SkGs6E3yUZDLMpa3_SOEWvG9AwIa7-n2KqC2MTUd1zj_yWhl7Yu5jAbKOgbyif3YWXV9fPl4Lx_tIfs1sFVZC-gxiM9Gn51GKOra63M8RgC5aH1ilVK1oRufXO13CXGaORs_xx5_iGkxIO0YqLWA5xzppaso3-OcH00GLZ0ZggndVxzzlM38ii4MUAyRnd2mHAf_aVdK8zCAs_8hwqFCo2nefOCu7DCA4RwyRIMOO7O47xkGjlHl3pTSJEzVe-UICia5uMxR79jvuIRIyX1YOXh8TRts23NIgTKvl-XoV9BHfO4lytjUVvh2VWk0qQ6HBvUB69A-tCQ7yBbpSh2qRh9aL2Rc2H6Sghw9eU1zTgM0V2fZz58fhGLB6KBYA3qZG1WmaaJEGg0PGRvFjBqGVyoRTNfDGjfLlRbdSzH4BzxpcK-wh0i1WyqsyC5sGcDNpCH1qldfTeF4cjyAIZWavVJ7H_ijoalSSOMYtnYY%3D,,,,,,,,,,,,
Human Value,Controller,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1221&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&cs=1_143f12a7&cb=1676371301702&jobListingId=1008428549464&cpc=545C0D17DAD7ABB7&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-092d99c80759e091--6NYlbfkN0Cbu7h-UbSF_GGQaxjcsJH4mXose9dnRPGuIswOraEW1BCliE_XHjNelIDm7gNrajuDd93diwltqgwYizl_IqXTD11a2FNjsLb7ggKRV6Op4W6Dvb7dS-cKRcYBbQJcvNIWQG2IeWYt28MKKqu8-K78a4x5eAkkRhOkMeqM9KTnPtW1ix3hASuQE0HPXZgUCLiMinoIj-dymnk5M5yihTIidVrUTJHHnJllfz3oirOfCFYqz2X2Z3A7Gvs_Zyh7E9sZpK_4Zbuqm7qQLJLLRfkfIaekKeCuFcgwiP05r7nMJrO-C3qorQaIRWZ4DMenGI_dkBCRcaac8eES1HK0iVhwEWQB7_MokglOtVXPtR5APC2VoOeNJnq_zM8RigG_EG-8p_XVEOICDqPpG0b4kUZIxkrf2P2Vv8dCpa47nnF71wlpa0wH9xCl7KD7BNNmuXeOEDBrm0kL2XvH0k2pw3cKiO13XeLzRBtKw30qpenfiJixrEV4279JAVYJ5UyumhnZ9I74pn4XrRDPGhFrVMnIxWSijJeAUumKbcJPgZGD6So4XD_9QApfO85GpFWAS0OUSxHq6vwfI-1xiCleCMs0tj8IrmVGh33Lp2ZQjTfU2NGhlZP6tLsK0yDTsnFaC0A%3D,,,,,,,,,,,,
adecco,Tecnico,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1222&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&cs=1_13ee32f5&cb=1676371301702&jobListingId=1008428775806&cpc=8CDBB1EC89CF7160&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-026e14140c80955e--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK0Ai5t64DnzuEJ5ibQUF157IBTZyBBJSQfe84u0axUtPFTHWAegiMULFUdf7GgmCacTFzLxvnfGYhtyZ6VosDHSUkdN7LtaeRN42UD4qeFEbYOSGx168wDr9FRv5T94WYaDWvSbWotFy2sYP1PggJdAf6oTCNUtDKXwWYL5o4QnsutzMmdhIBFd7qZThIpFsICWbzB8Mu7wOKQ0lmUVp7cNxNGqQ2N8qsp9cHFsFWWh8qKfB5m3nvIzRf6ZLyLMNS85yFuRDSlRrqemB1CZR93wlIUVto6PKdouAWukjhHCbqVenTUOvoes9ZFOjhZ2OK-yNKENEB7Zqinfopvfq0WX7fegk3JEgGRrqF4m9Qupd3Ingx-8BW_EKBM-joEH4A-R9vHzAvZKov4r8gjkKPLj_IE6qrlQmpL5LWRPvOAwF6Gf1VcBTm9Ifz11i3d4lJ6cuLePtmXOKkmj8TwUvZhciKr6Zk0fIaFNP9YBo_ThUc-uSsRjOkfTxaeg3FBM34DNlxYzI51wp9XWmwpL8K8JPJeUMTtkpU2pNQo9MyjEGJ9mIIXXf7onngUxhfKm8-GhNcTmhsNWfkmqV6wfkprBUw5iFPO5iAyd_JP_DZGZbD7zp2z3h47tJTOJCI141FmaGZ9G4I4CdqSNM-FQM6sXkK8SP_vHTsZT4I9wjd5hIOkcnVEQYwcjtCl0NNxNKB3zTPEIXqCGBP9meWy6FmNvsI2Ru2govFPvpXcofOwr55lyjISJaO8uN708zkUXF_K2OdtH_JSZI%3D,,,,,,,,,,,,
Assist Digital Spa,Operatore di Call Centre,Vitulazio,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1223&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&cs=1_6cc0452f&cb=1676371301702&jobListingId=1008444231309&cpc=D5E11A5BC695825F&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-4ee16a8d82b706c7--6NYlbfkN0BImewq0amX-W1xY7fKQaAGnpysQX9CarUjLjoQc2hm5I6kbS3DOLI6VrWqtpE3Ixmqb9zfhnQwiQs11-GiqGFkKY3aroPRnjmD0U_n6UuGF5lAa9UxQPfCFRcFJjHafNrperSGa2gvHyLP__Y7gJ1rMfFcBbao4B_OzFj5Kri4LNKiX3tSwtJCgjU0jNejwXhgl9bdpek7ObTahsxEkormL9iOdUdGba4YkayKLU3OADHS8HgVjz6cp-xZTb3nYrdx9lysaa59QquLNmCRLZwIGmfi1SuuqjbWQXOPS_AWm8OUBTIMk6UMiVaRmLg4zGf_17WhYY7A5X1Z4eH-AHfRiCE7pNZu1_A0j12fCv5wYl905l2KXJEFIZ8NQhhkDPozKoRHclZclrm0O_8DWk4xAWSXUXoQb2EHQReEJ8bpLLPGY-ZD2QczEjUqs6YqFNZvAZ90WuViqAQn4KC1UgbKngV19oYUYHc2oyg9XXsl-CLj0Sc-hVtBSDrObbD8h-qc1lIWaRCX1gryQurGKiS28SjRiGt6bFKXbihos4TCBcqq5TrR6OVmn1bTRZydId6PHxSfDOIOMEGCEu9BgIU4EeuYTjQBQ8OCVW5ok9MUETXoZaN3IhLVOSuvMfnIDyOSpkgqpMdsw0c8HXwWLsG8mZdamUftWKI57zpp3-B6BTX-BFS-c4VSZfFYaSN4_unNw27Hj6cGLU7VA9jVglfBFAdU-3XjFaY%3D,,,,,,,,,,,,
Tecnocasa,Rappresentante Commerciale,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.5<i class=""css-0 e1cjmv6j0""></i></span>",24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1224&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8e47c4f9&cb=1676371301702&jobListingId=1008468448394&cpc=2F9DD8B511C89582&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-bc232938fe486941--6NYlbfkN0ACsuqEheqI-CXRMV8xZBmVkRy6Ljlpmc2vap2kcBme1-qmP4ebj06xxmZzIWK7JoGmozW3M7uo5TUCUpay5taQXrizM5nD77FDvA19oFQkHdnDLyH1S9bvH8TQdAN3LH7yz9wyLgIODLLcm6Hcal_5-zBD-APnQpzv-D2W5Dh-gdSYid9sczSiSHWSNwfCXWr12-CWCjAf3WgX78GGWcRF0tbhlu6qJU3xojHbqvAclvjJwk2CVl7QbbyFICnpiayQ_ZcY8E6e5kTTe9J9qPvit2cljfRn7kx9qB6gJ1B3GHDmFclGdi2FzHDemxFeQHRjuBvtrvGJmEUykjk4fv8i9-p2MqUK60AIJcuISoGkHJqfrltwsBOlwc-cgBNx2elxsJju6yRQ1fZgrcxKbRo_aBTq8bygHAWNq4BsybqRPRnFSWkatnVFZ2EZY_12MlWkFT-0klBO77Pf9GMtFjzu8vjvFdYZT4lFVHAc6DNg4di2zzfMNvAi8RRLNyYGtC0yhuTlBtfH_RKkaoO_VexveeubBeNiVBoxVRvhMwzB4qHK-no6Y808BCbkQVBftN7p9au4AP8XBQ%3D%3D,,,,,,,,,,,,
Human Value,Responsabile,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1225&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&cs=1_c88dd0db&cb=1676371301702&jobListingId=1008428548821&cpc=6945AE2F4B03E059&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-7541cfca3d4a6d42--6NYlbfkN0Cbu7h-UbSF_GGQaxjcsJH4mXose9dnRPGuIswOraEW1BCliE_XHjNelIDm7gNrajuDd93diwltqgK1cTvtNFkrcauU_oiFEvE4roIP44qEKIOBK8qjtgMx4aFoFsN09HFBcIJJi7yqDvrlii7CcfhqX0Cp71s73_BhwCfDtCLYZyTmObSGRwf6NJ21JI4klLl6czCXNE-eO4dtGCkc6iJ4cX49HUnTpEdahgpVwM7utSrnyk7QxbHP9CQOoTpCk-D3lYWuTI5llwsGcgr3wx5ojWY-RvP47bkK4PHUsGNgb5ga170qZa3MyBXFsqoljGw3OykVLYqvAtS-r2UAPNC4Vc8B6gqj-QbGiwQ3YwCxE5CgxAvwt-DTblHLaPx4KnE4J6xVR5Hjevr6Xh-T9fnrFNgA80Iul7VefRw3-XRgAAtrvSUir3AOTrWPAhmc7puQ2Q8pi61JI4fW-tzbDhOhnKG7KOHAxcu_d4ZSeVyjpfXReu-JBpPqgFzwcTYUzKl8Io4mJa8AJnBWooGuVpKCXYtwYR4tkRNeCT9IuFYhQB0CxZuIUG5_Q1KjNrRZG_H7GFWyQZHzKaSsJvfnnUxBr_yH0M6PHASOpfeS0Lib5CbTR9nNiOaMoq4jAfbXmAs%3D,,,,,,,,,,,,
So. Farma. Morra Spa,Analista Dei Dati,Nola,,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1226&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4611fa6d&cb=1676371301702&jobListingId=1008449155284&cpc=9C938E8DE9AD6C02&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-ab24d885ef1c6f9a--6NYlbfkN0BsuZjmKUot0tZdTClGKEaOSYgu4wKz6gE-tsrJG1pJSxE9HL8vvazbiveWOJIpaHUjlnLN7MRZ3uB664DrfMlpLvS20nnE8K0kTmMP7uyLgLIelhFZx64iwqILrXi8SnLKRobpb6vjfsdL8aDgqp-1Kro09A-opt4wSuwABXKWn1kKWSXr1T8-bKAUhmFhO8qY3oBa3ufUQMpPzRhRTgybqaSfLyQTqzWY0fv5KD19jrwksUmr5OCkL2ZUaqfUKar_WIm5FgPhafglZzolrXiNv4UYpCSb-ZiaSrFJHlTfAMyRfHi_e88Fj0wAwgWjmTZI4yJnvEZJuZXFoHwVCk4psMp8B744vKNIJxyeJnyiINk-yEJRGUt-Sl-YslydhqfwObdz9gP1yX_wcyRGUooXBVcEU1Tst5SRw-gvDIq8LW028BvxVwEi2IzYL-o1IoAv9GTVFgAe3832sBBEldVt4YGOxRqL8XK0xvjFNCesGtUa2XI2f7pHRW_j0xNSNQfP1RPCY1-ouzXngi0AL_wO_Y7TmqwH50cptT8QOtKxrduW832AgYVxsh0gMlmLaVK3f7E9zBd7pgISZB1Ef7OL,,,,,,,,,,,,
Xelvin,Junior Technical Support Engineer,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">2.7<i class=""css-0 e1cjmv6j0""></i></span>",6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1227&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_741ff436&cb=1676371301702&jobListingId=1008456700104&cpc=39A4E8CE329AB187&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-59a6d7e85f90712f--6NYlbfkN0AWp2jAIvwXyxhfJY0qOiM90h_uVcSLFlet2vZCGjgLA4F7Tr4IcsB0ltLVTQ7qN-7BCPK0UUv9_QTYZgwG5YdW7ke6XEVUBk8EwwbceuVgjgAcFAiGkG9p5L6pJsk2moybCEIV9S3LlUo2SQaoSYRSadsp_5HBWxF9HGrobaqihWRhY_s9esC_GmTdkLlEImy-Ztw2socxLWZKd5t58SSZUP7Im25_Qf5Pnqt5dEC6BHjdT4IwKEETU-C0LcGxuTMwd_ntuxoPPKEGrn5QyFiPwA0wIODq4wO0ag9B0NWleTYcSWBozUjYUZ6ccDbsaSy5ELeuhqYkw7o_CeUVDX9uDNkloRL8-lQ8UuvnPScqXfqF8qnzAAWWGbGiQFJTtO4u9lt3qyViZMpo8ejEnt3q87c9FZ6Z1gzFKnpvI5RlGtckkieujapN5l9QUqs7i4uDhHaz-Ym3fYMDHwsPPnyiMFwzlijn24VVJn0d5JHxsbvNzL0ZxF75IqfzRogJOfAeSVS1bMYEIiSj_bK2CLo20wCcnJmtCLESXs3nHvKqa4IAEyGW5WrFJoGQnkoHE-VHNio5PpWU3hVGqJPUqy0zeLn1CMN6zfcT32TFYxRqfdyrw7P-GUnej6uaxjKBRG3AOpB_uaVY_w%3D%3D,,,,,,,,,,,,
CERTFORM,Farmacista,Sorrento,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1228&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1018f229&cb=1676371301702&jobListingId=1008468400128&cpc=9FFE37255B2C047E&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-45459cb6687a150c--6NYlbfkN0D-3FQsaFb6K5kN-Yj-wYeYCLk6hY8QiV8Su9-Y7ucGGWhcMz4rqqesJf5meNCNKTVd9QQGzxncQGWgu31q75TsLcXka5T_eBTcuUVEOl6aHr71-DtggvSwPJlLuoga7TkmQhGTEZBG_2qPR-A_GlV9CerR58H_dDk_G-fdJ21qdMQnl6juaf0ovjwkCkxD0UmRcltaYw7AOAy414TmyaTE_rMBqpf92Hl-d4XbTEWZFw9JNTR8rdzdwofBgL09s9CDtZGpnAaAy7-6t8ZBmr-TmOwsnoefe4XF_jKrUVdwNH8HeBhLO5PYfXG5uVcMlft4B0F8UvEVbkcAALaEC1u2rq3OaLeblltBVZqvW7364JLHsAcL23_NJGw27dtsNFuoeNGeFqMSwDiBUsCnpF20e906M_oB6E22gf8fNBWggTipvrtr8sKpqfe1E5IBUxA-ROpeK9zut_CCbTs9g8cdUBer161R69_xdE5-Nq3r4KMD9_w6IVC4RaEEywvHiQS0Q1G_rP1bZ32cf1IEfuTvNeRdjPZgC9DfyafPYMHeQ7f27SuLQHkX1wnhnBo4k5M-rFgMpGj4LQ%3D%3D,,,,,,,,,,,,
Lum Nova Srl,Operaio di Produzione,Napoli,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=1229&ao=1136043&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5ec614ff&cb=1676371301702&jobListingId=1008468347720&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-b8a86bb6ce0275c2-,,,,,,,,,,,,
Gabetti Franchising Agency,Architetto,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">2.9<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1230&ao=1110586&s=58&guid=000001864f8413feb05c5b9af422f03f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbda7b51&cb=1676371301702&jobListingId=1008204334799&cpc=973E6D846143997F&jrtk=3-0-1gp7o851b2ths001-1gp7o851ugrgo800-7154fc7ea830e3b9--6NYlbfkN0DeMNejglmrljmtVFsqNCm4MrZu-34Nk2B26CsG8IHyZGImvQzZIbWSAmjSB4psbJQIbpypy5WDr-CAP0NQDijTiXqDEKlNEKYU5FZtYMihapdMfSbbUTdIVMdDUzga7AQbj1b_W0HPZPjUOSOgyumU5NwxD0F_IXthM_641OSfd3QisTKMan8E52nz2MWj57L6OCDPCQELGeG8QPuJgBIoP6tEdUW-p43gSS5pTjNSP7GhwJZgXoctmBnaFF20bGdDZZRQMj3TF3SEjMxWx9UsYMwDBKd2zTbpRr8J8o5S5zErwiLaq6mRDriXAbV-x3bKPCkm1aEBkFA09d0RKTWxgWlaZ7ZU1bZJNbyNUpi_xTQolk_JByyFSEnaAtbTPFjsRNVgZ16i8CfC7r2mNxaB2O9bLL8oi5yb06VJrlngw2ZWddn8SzSx_2AO9sWc3Qy688Fos5EzRp85VPdlQX___SWGXnUSsYhQlHylx0Al3NAidY3TLFiv_jsSXbkxN673GSe1Gy_zwZzqaAML3nb5ZcVjdWNiVzJEhppln7A7yQQ-tSD_HLhfDfNg4t61Qw4%3D,,,,,,,,,,,,
Lina Stores,Capo Pasticcere,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">4.1<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1301&ao=1110586&s=58&guid=000001864f843378a25074576a8042e8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f70515cf&cb=1676371309999&jobListingId=1008463851058&cpc=77D8CEE05F182B4C&jrtk=3-0-1gp7o8ct9nccp801-1gp7o8ctt2cgs000-7e1e13143815ea8a--6NYlbfkN0DgDBzYgyTXPPa-zzAyV64JGJXXBlKCCozuZryCbtxWLN67JCK_x5dIm1_NRSs4n2EXO-iBCrL5CR0zT61IHucOf1BazLwxRlvnkXBQlexFrmApi7Yn6Lt0VLeIdiARWonebRP17Qr20lEq_vNuUYInIPs0ZZjVKD9DiSCZNf8mIbShF63w2s-rMGCF6BGOBEvUvipcvTPXQB9LTIc86wGbLvPXQ54TJ7q1Lh_yARL-6r-PptJCof3vLC4CLf8Lkctv36ueLidin2KsTIwvf8VNKp_3r-4tFU0ssfT-gnZIZ7H6U-2ZF-_R_6baEjIlskPh8Ismw8i2TVGcPMHWC_wKdEj8q9U6x2aEdFsw2AC7_D_uH49C9y70kvLsAg3CQRdjuN5CT-s1jlGnTFPU5-vNkf7iV7K2cPJNQeadFDHjx6ApKJAkh2AhXGItlERTx4nEUbvCn3guOALbWn_QE7couGq_XG8b-HrKSDPOKsMwM9sYa6E8fmm2WgJiJX6OLkQBqI4TaccBtM26kNPCPVjF32SOTFBBWd_JmPKBiA-c7jNAG9tWx6I1cVZe2N_F_IttT6WFQN0nhB8T3Dc3A1JU4CgShevHBSg-XRKbO5nPGEBRTL1uwR0UwVsRLq880wsrXoEgCl2QBYrWgAXyCM9E,,,,,,,,,,,,
FACILE RISTRUTTURARE S.p.a.,Ingegnere,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">2.3<i class=""css-0 e1cjmv6j0""></i></span>",17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1302&ao=1110586&s=58&guid=000001864f843378a25074576a8042e8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_16c2697e&cb=1676371309999&jobListingId=1008433117845&cpc=FC4EF002566A9691&jrtk=3-0-1gp7o8ct9nccp801-1gp7o8ctt2cgs000-e2ef4f3b8e502b26--6NYlbfkN0D4PQrJV_PNof0-lTl7GIcMWDlUSPrLpH4uPE_IF_rtuw9aPAClngahZdIIQMhdrEsK_MP6e2YynZ719mB8-IWCUBe34P0ProYUh-fJPlSuW2dJTWlEo371P89pSU_fkjjOHKZwLFc0QBZJQPc4aEv6eVCV4I_8rprrmXIBLZWlqIy-oWSVNTDYPXjWDr27csMiVixxIGbnlV-5lc2m6FtmLWwACvNha_SpmA4ipBq3e4J4BuMzVgBY1MJNnz4wR86zCdYKjBhzWvPAlWGO3CrFXkjvAztLW-pvYUuw-x2BaFthaSXZflc9JM6H08uIU0OOfZWNerPE6q_kBvB4hB8u9roB94ui6cSepKVmUG5VSBhb-K3Kxjwkfg0cwySaYSatSi1adNabfgjbLXkVSEjYkuaAMgybyhIU3TyecrI6WQhGXGbVS-NC3DkdGjp8SbmdqONqBBvfsVkQx0-JeY535jRUw_X0hIgcGABjnMHSoXschv3BGKaiLOT1pe72Jrfz4LRQfHQF-XysxPByW5X9jU6V-6g-9EWWwWJ97QqGV5-V-ESEy6KoTsxOppMQfd1YiSbpqIxhpumscgH_SZykfxQnRUsBbCl2SEAIC492lQ%3D%3D,,,,,,,,,,,,
Contrader,Sviluppatore Java,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1303&ao=1110586&s=58&guid=000001864f843378a25074576a8042e8&src=GD_JOB_AD&t=SR&vt=w&cs=1_0a58fe6c&cb=1676371309999&jobListingId=1008278751833&cpc=998AB1121B01004C&jrtk=3-0-1gp7o8ct9nccp801-1gp7o8ctt2cgs000-10c5a3c2a8650811--6NYlbfkN0Cy00j__gQrFinrTrsDapFDC4-gmcGoOTHxmFv_WCnGchzS1taFEGZNlUNp0kgtIzEMu03vyyRMGiku9Nv8FlO-pW_3CdK5VWNUDu914-Ctz7h9fjbkaKduH5NaF1L6FNtTD5L7WNbcp2O7Pjq0p9g3v9SB4rrPIxxQ2NXj2NVqJQmCoOVk2SCh_8eU1iVS8h0lXNZAN9B7gRu0zEGggkyjTOeZpMsLm1G4Hh4SsQS-cmnurQIMMc78fbTj-h7jmh9bhBv_qucVlFlkishqdU8TlnX1zPtL_1M56LiJGdX1IFTX-ERxt9XNWC-qwcj6kPpTBDaTdBdN0UEvbBFLdWZlWGVxRlWisH591dMXoV9vRRxFmBglY9BwILZi15yvrA4Fij0s1_7NCwP8UQ5jYeDKwfRYRGwC8no8k0QS2PHjxyiiw5UMB8El2T-P6fW1PEl1kjNg8sU9jmn1frhWVzqNblvXVZyGsrPgPVjzREm-evMZV-QLr7hvNV0XAjYTdJupkD5qWLHnNQ%3D%3D,,,,,,,,,,,,
LAGARDERE TRAVEL RETAIL ITALIA,Addetto Alle Vendite,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">2.9<i class=""css-0 e1cjmv6j0""></i></span>",11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1304&ao=1110586&s=58&guid=000001864f843378a25074576a8042e8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f8523fc&cb=1676371309999&jobListingId=1008446768086&cpc=8507CEB59E1C6AFB&jrtk=3-0-1gp7o8ct9nccp801-1gp7o8ctt2cgs000-dc02799bc33274b7--6NYlbfkN0CX_LllCW0038eG5KcbQa1ryztUI5cfWNl3zQuoXSGfOYIi7XPpHnjOdHY5zUHTy5k-bTmVHtyIeiaoT6rl8pquKseqqJe_JO4unj2_ELbE5DMIM8gC1HdNzbkR1pf-SjQIN6kce-ItRyIl0ryBNdXwa-Mi2ok4n2R6BiMhB6nYlIlNgW1TuMNA_gyOTmLkAjOQ51UmDIsdnpfeoOCG2Z12TF2NAKxSQGWVi7pRxB1vDlE6HZVw66zyyXi9TyNe6NKeAJsjd4_5XwcT3v7xYWTRX6biItWGFtyAxTtGgMFfrB0j4ZLntpdrtXtW9JDuVlNclFm2qlaG6ng9NZ0vBtNFU2QjGsYEEfWPkOmledhDSxakDUOvf7JliVOCZpk4YzSe1oDe3z77D4ZAs3R1Qb19tWm3kAlCuqZEXM87YYA5ozecjNzPGBlil-KFar18U20aFm6jyCRSmU-lVYIPW4TKAFOqvwF8PTNniI5tONabsesvAhux0fonrd_zdnyHogRBs3-enGeE7xbH1eOjfAgl8IdvZ_gib4NfUThY4AoEO9BOLE4cRiaVcb8f3Yfb3OKYzBnS2F7lKKaldcXKzVGLmZXX4xie_8ekcr7G3X1N3sy_iNMVp1k4Bp-gKWbBxU9IDuNXLjip7w%3D%3D,,,,,,,,,,,,
Calzedonia Holding Spa,Personale di Supporto Alle Vendite,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.1<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1305&ao=1110586&s=58&guid=000001864f843378a25074576a8042e8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6fdea43c&cb=1676371309999&jobListingId=1007807309821&cpc=4599430C66E07990&jrtk=3-0-1gp7o8ct9nccp801-1gp7o8ctt2cgs000-e7c9fa03b66e7219--6NYlbfkN0Ac3PQLf4kItVDhYN2zbvuJ7nFyTq1gElAGQ3upSQdcjrCR27fqEoep-82PBrEQSd_kxNxGovBpZXvGmGTdSkTvRIgFE-VbkLVBR4xnyJMe2Q2TmE61eBhiooYAIIVpGh6sVknSYM2KPpB45KYqfULRe-TK8DGOloR-p7VeqybqgYFFZATD_CBW3Wp6x5X-hc1dlQRSNrXT5fN-MgfHHHrMC0JGOcpnyZeufXAFiPaAx3eP_lmI97xy2lrXyU9EQ2iW19Bu7yC1lnZaMRNWovzvkYmHzeBmUCR0IpfaPReo3vsHCTZ7z9zW-yuI9GEjwALwhFkPj7mTbxnglKx90VuF6HzYaMtUW61X4xy14twHTWWDp-IbDaRnX0_q7-QW00KzDqOc-xKd_gPSWZB3Je98lDr0zuQdihe0PQRSK3iZSbtfcfpxEvc_RlDFONUThCrs-RWlLhKd-Hg19ZU3o67F7OfZbdcLHSv_IaY-t_kahN_omacYkgptvWDhcHECRq12lIOqm7sWZPlXEPR1kblPXOtmmv0yIooLWZS4M3bdKfLcmI3gODFjSUn_PeaUxqc1LJ0yUaS09Y_6Z0NOhxMvymvA5poshmYE3QE0N2IcIN9_AN1CRbdsSdzcbjXJzLLs86bkUL08x6day0jjUx5o6XcGZXiBPqBWqI1418OXAegiMqoW0oRH,,,,,,,,,,,,
