,company,job_title,location,company_rating,job_age,job_link,Opportunità di carriera,Stipendio e benefit,Cultura e valori,Dirigenti senior,Equilibrio lavoro/vita privata,Sede centrale,Dimensioni,Fondata nel,Tipo,Settore,Segmento,Entrate
567,Gruppo Tempocasa,Prima Esperienza Addetto Alle Vendite,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1928&ao=1110586&s=58&guid=000001862146d8ecb85914242a8fe5b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8b407510&cb=1675595537136&jobListingId=1008446603273&cpc=B576E40E3A51D23B&jrtk=3-0-1gogkdm8dkuj1801-1gogkdm8vghov800-e933ff8856c55ac5--6NYlbfkN0BqFYcnGQtlgZUyEPNOpiDdgWIzo4J8ITPECTVQq8Qp8cTfoGaBG9wTOiCYpnDDtitJWste_GYfZNY2UTA4gJay0lyFWZ-r4XtjnVQQISIL4DtRMSUh6-N_UbhYx_lMwbqp1TLYMWmJNZkzb1pamyYeAS49SmWAlXmWZeCEDJiLl0KNbHR0v2oVOPv6Jt4SuGCf0cPKsHpC3X5JYKXDFCwYxji0mIGH8hbz6q1X7OIvjrq9O3qg7jhvyS5gWzQs2_G4H0vYuZXpSzVf9fj3tW4oHxXLxN9mr4-c5rqrmFMP1Sg3M49pAvZdSnxLgfyhW_AHE11T-2xHi2zwu3pyA4rhx5zplHO4UVnCe_A0PJOnd0YnFuiYOqnCHZ-moM9b25TP0nmUal3QLuusPWyne3Uqj4Z-qmjv7LIBco73qnZ4N6V-cMbdn5jIW5kBENa_OR30b8qlvFc2gCYQ8glpYNVj1ecHJqCLVJ0fjUWj1S8VdFAQKKwA0ny2kolOv8gbGRVhWpbXBXCnqo17kHmdB8QciUpE7aiYgO1Z4abj8PHEK9vCuwuhadnRgsZPYOHn2VTRfdkb-_QjqM_WjO_UHYmMRBSWXTwZ9sUfiCnuFFhnMW8NKJcisv5nmsBQ9yB_26wG4MYnDxT1x8mqkNOb9ZJN,,,,,,,,,,,,
568,Gruppo Tempocasa,Consulente,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1929&ao=1110586&s=58&guid=000001862146d8ecb85914242a8fe5b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a7e53445&cb=1675595537136&jobListingId=1008440017053&cpc=BC94DADD91C18169&jrtk=3-0-1gogkdm8dkuj1801-1gogkdm8vghov800-90dc92d2efbde937--6NYlbfkN0BqFYcnGQtlgZUyEPNOpiDdgWIzo4J8ITPECTVQq8Qp8cTfoGaBG9wT-37mn1NomlBpbjoRlwB64JJEhBAoGiG6hEN2aEdsGrGDPD4xgyxFWXX1QxQvh5993MdKSON_B2VVXgkKyQUdIgwGHU-nX_wVdXAw0HDrrrBukYbKPwu8y_ERvnWqfcie_5MMtafR_jzp9kIRM3afLOkvzZ8MtT4JnwUqqAIdARPhkHtyHfrMLBju0hD2btLiDXqIN3mzWWquCqyt07G0FIPGMhhZsYc1Bhm8rEoUTJ0itxdKc0DnTyjQKpgbEbLjhJObzWRcciN1QOJ09DfW1aXImi5JKGBDsnt_29vNUFrwXRFnFZPMZne57dBjZykCcLsyIO3CIsqy1pH7y-H1nQ8TL73KRLiflMeaDf77ou5Fp6NNNkjblmGCGLTSyCXKuA3IOKArlzrRLcYo5k0zY8RWQt_Q7wZdv8QB5Lp1YONtesRjndP7bLz0C6839Jwvu8E9IVqR5K4LYAWA3LSz9BLmcAygJa61Ii0uEVCFi14aHR65QFNzfa0JEq27SPOUziGE0wA7AHs1-7LmA-P-RVa0j38HLBLLZ4YzfwYju1VfsKS7PcCj46Mg9wfmEVyB3Y8yUDU-fovjlgTmOP1ilG-_iMgUT0oC,,,,,,,,,,,,
569,Mio Dottore,Rappresentante Commerciale,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">5<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=1930&ao=1110586&s=58&guid=000001862146d8ecb85914242a8fe5b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_6a181093&cb=1675595537136&jobListingId=1008443880394&cpc=D99DB9A39DE67464&jrtk=3-0-1gogkdm8dkuj1801-1gogkdm8vghov800-660cfacf6435d7af--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXkVlruWlQHMDZtZISlUPyOLS386AJ09ruB1q75sV65O28vaVsq9PThvJgylLgrI_UQoIZf7KRRThdx8UsAfvVFXg1Rj_71TxjbXRhpBQRjIronrLD577q2FHHrDXZ0RRr1RUtkRES9fqd_5aU3RAc4zteboVe7vIKadTeIwmDsy1EyvAftc-P-kOARR416KX1JXUje2svqGZoH3ebL5maNhPbLGtiDqlYNBau8SnSwdWaYswnTPq8EBeZYb9olJKnT9lXYOo51vrB_Eey9DZFn8gh_ZJWbjE_jvO85oqoWM27MChvd2c5wYsK-WsyElsMcCEP8byUbwJsKHyZJaoRZT5j79_0oI9WVkrlNDtOnTNlruYWINBet7KKQmqbrSNvHNNgu8obb1txv6jGNPCZwPP52CQJdfYMpo32rX9iGhhGUoG9IdRNfRCLMjXP7hPDbpWt3OS8063-L3JyG-mKE0ew59tqmqjvPAaUG8xns9NdwDH41lDysSoHrm-gC44etHfjqswWxFeO2qH941X90bnVGeGqHbgSr6djscoJZwUfXrfkryfwyKd6C08CYCYKBwlQjYUyu-aLUWy5ILPut5eU-ppyYMyZg%3D%3D,,,,,,,,,,,,
570,Enpal GmbH,Senior Business Developer,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2001&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0df48425&cb=1675595550829&jobListingId=1008446032351&cpc=4977265379716ABD&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-9c4eef082d133ada--6NYlbfkN0DkwziebNfXPE2Zw22jCFKIwOAdARYtFHjNymoGheYnAEOev3-ct8eHLra8C6vlzn_5a6iAsUP9ZIyJmBwWkn8yESMdqfC5jBngS2j_M-Ssf-wtR-usY_qQVQmLj0U39LP41jn52qXNGS-pc_Mjy83RZC_YsUZHVR7TlDeLxg-7mfGzUj-XxV0qdwfN8-oLj7pJODHkSlAX4dl9zZ6v3xIxnZN3YLRDUa3eodENGQQr-kGyPpWLH_C5x4UV37lyOFQW3HFWXaD41KVsTjJu6BXSsmr4bjpEEU1iuHEvTI5lgWU-r55tVIzPfvrJm6FrBSv_SnmGCGQk55Uu4aha3P4dp8vwb40qze7XwtwddQDsaLXDcVQCrMFj0iXH0T6hKwEc4QRHdauHMxGyoT0CeF0Ysapnx5oyFUshbPXOp9mczwE8XzfQqQfzNs7jpGGmobSAQcknVeq3vCC_DhmSaTaih4R6dxZTZYnmM4OF4u1_mXrdlF9N6JluNTq6vPyPruYFc3rJy7Lnl8mefr8R8e7uJ8auh_HCNq7mA8J_LQYcj8zQRRm8m2o7dWTU1dB6Vb0DBs3jTE7xChjK9zrKwyAKcs3FaLUqpG39pBnGmyF8qm_QMpmVH6SqgMRjVfvVTllpj5kXxPVh8YzxV3zcrp8i,,,,,,,,,,,,
571,GIGROUP,Operaio Generico,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2002&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_211d4ceb&cb=1675595550828&jobListingId=1008431241566&cpc=B3B142CD6B71FD88&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-a2ae12e9b8794796--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIxP40LNKIlpq05RGiwpEAiccfaMW2_H4rn9SV3PmCZEXHS_yW3mDFWdAqDEFU0aHe1zOjVfBi2n2kJxYw7CxSqlwUx9WjL7Q_vIVP6UWlxc7q5FOcAiiQBf8q7FKmSOtilQJE2sMT_A319aiXdOw_TlL0L0OfVhzF9aACHjIv0jkH_eYgmI65RAKcsWOMxbKfeeiWMpKuYDCo6YLgksFIrGbEVYOUp7k4XGZksuG1SAcNqNV47xhlTuP37yTayZU2Ee_tlYf2PR1-OUsOdmxqoY-seVQB1YJh1-06q36ZYCRcb54Q4kVtEG7LmgVOeCYmk5kitF5VnrWiQoNxcIeqP9M1tCmpYdduK8ahMODHsBSZXlHRhI1uQhFRC_QCwMkOfhlZ8FLymt9zr9Cq8wDFDMIazBmNqeGZRVUeXC7vXcowahIGr9Rkao-skV5XDSlHYEt4UkWRNaRKkUnPcpGkgUUPbtXxcArXOZLcOi5RE2O_9FCd_Bbt7EIYMDLxzDs2gsHUWT9MzJebzHQubERPFAKS3VsHrbf9YzOAXIAQlERBLFDrdcZWzp83gChVN46D4eqEqlD0u1PJ8RuDnw-LuQ4pVCjRVqXIDWpL3jBnrbW7ss8ycdzmHXMekHdsprV4eQmQXDUCI2hPP6C1sbDTLzxH5qMkz4cvmm7qDOBFUFDQ2_irjnUouNLlEM8aK0Oqwf3BbB-QBGY7cRbEyi2AZgUE8-sw-XYJ-ChVocxQrLtDqpGH4IkgbrCDjvbAoP8c1j2Ew57FhyDLhUHrocglq3R9JgY7ivIKSOynwDr9LsDWEo4Nh-IlUNROsXjlnqsA4GBWrdFdiHf5LxugrmqRF1kTgfMG8SD-3JhE11rrewMRfVXjx9VSonq3TTj5L-lpBbZX7Ggmg9p2U2wR0C5HE_AZpZ6km9K0fNvRozTyftUDo5BIn20uDAJMYc9rIfvwr5g_DTzJ_AIoyJPcNLPCW33F32i5VMUfDwFmugCdcj4pCKdJazBrjCZhI8K_nZCe_btSFBM2RJ1NlOJGvJENyJzSoEoYz9Pk97LYlryOtGAsQJt6p7pE3WxGbP4Rz8w-sjyT5zwOuhha6vyYu7FjS-ova-oV8S15udd-fVn_N1GwJ745LrKZtyplKpScxT_97NlfSI9uJIGe23kBIw0AqHp3GDfgoHXGM1LNy0O9bR,,,,,,,,,,,,
572,GIGROUP,Junior Operatore,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2003&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb21961c&cb=1675595550829&jobListingId=1008410796133&cpc=965F231502A4159E&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-535ccae4ae5493c2--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0PIv2yFvvZBUQk_-3UJYmj4FjLu6d9qLV8_UqB8W-y8UBA-L2FXTobij4oUErOCrYAmETzeJxf8yI_3acYfs3cBbgRF-Mz_blAkPehn8e8dT4aTtBqTXCaRa2v-PMD4JnW99-n2loWoBUYImJeIQc_k9zwZnrz8uloqx-sKHrG5QDG8ruMo2vZARYshua9DmIvhNBGmT_3yVDJ3eyt0KRcdDQ3GnI5v0LU7guDUkvghWYwRv9Lsbd4Zb6xa2IVmfp7UVFwH_lE76CwMsxNNLDHf3CNfm__M4roq9WDOlXytpOSI6KBbL28EISMGSWvpnnVsuAxgOnhUa31dB-5jLoBJh89UuwKXuQLfGI5lHE8JmNXdk6mWFC1E8ySUir8k6IdV1gxOKnXfb7EAkNZgukkRlYk5dRaA2qnHgxOk0LJaMyGazYLAKQWAS7hT7usQqvrKcLywbGlo9HN5kk9XCq53I4m7cXhda4TuHNn8BaZXGfujTzX_FdfLWedZVjr6NfcSNgqmlEs0mKeZgWHDaSWJ4BIbrEQyfV1urLxGSLvNLqFKduCXuNV8cOPvh8k_BxnMo_uhQLoHWDNoSBlAbegl2cBdwGlugNZpW0V530zgM7wSxYV0V3VmSoQke2j3uzXWhNcFoi4bKWAJw0OaMzb0Frk3NSEw7Lj45iyRhE-WJ7Cs00IplLkV-eXAbcMoyS0XmTPoB8efVg25hi8fjVEWbObTQacZEU6lZb9HTEj001HcBhpXFRc_bJmaCBRPD0BnNjBEzWZXQ1acEbbw17r7O-urkzO385ApPQaWLpzoBSD-pC3w6JU09sYYjJ3vHCv7JDALcsmvpFFyQqZ_FdFo8R4-lO6FrlgNsEMTE5D2VkYv0TTqsQjzHnY4O-ctQyQXtjmSTJrEWtYt1uMqip-mJIGdm3CctYvSkb-VxrrFCyTpHOFth1AYGtyzver6HCl8Jhw96emLeHjmlY84F9ASUiCLwAtq81J75xm8FhRFSq7LENz4k_4btze2HeiqkdVZS8cT9UARCk3rXWwx0_6dDgDGqPPK5x8u1wtmSp9D-BusEhbcEUJUs5IWayC2Q0gGutwKuNHZTr6uF0_Ym5Bx334YbyEmo4l5J2gY18Rpg-w-as7pCbdGhEdE_QTGytb31DOCZrfwpayGeD-YOJnA8plErP50cKgEbiMg0uHYvdYhU3Dm0Ow0VGDEZQF32Ew%3D%3D,,,,,,,,,,,,
573,QVC,Project Controller,Brugherio,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2004&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd4de6a7&cb=1675595550829&jobListingId=1008413006028&cpc=9E3121F390AE2874&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-750879cb0d6fd6cd--6NYlbfkN0AEhuH6aQ2jAlpt2UORMZJ7VGkp35dfBxxx711uJ_34-fvlZY-X3lIKJmywyBD8VCgRj2CnBPSbdNkTA0QtURpOUqrqMJLmkZ-zcYbNEpzbbOV681bGTKIxvFh8gKieWjYChQ6SjLg9nsUAi2qoPgFD-j6-me7Z00g9ut8WbwTB0-VA86ksySOTBh5zyE7JeCcncqqY4ZhmbUgILUzJYDdEjnr0Yb1lrgTHq4cdmJh7JhCbAL-SKjuWabDdX46F0338ekVmHJGEdP1Zu1ZX4-MB8Flq3JS7HdIGAKt6ahfZJ5mq8QP107YKJdTmVGjvHym7GHqcD7tmD_Q7d5hbvTa7Oog3uNoPc8O6zvlMbkE53qkt92YpamStNk8ZQ7hCOggBs7sRe339q4ah2CxpoBKJh0tZev9e9HOpKBlbKQx4rv46M5SKRYXTlEHhBc_99Q54KxFwEitWTvmbyefgILzgnddaSeMRyhNferZq3ZMS1dkBDa3sLm4F2cq3ZwiUdHHQj5sCwrS_6rjC71MXpnZcHIIlDHetUtdB7m2Kk_evUdhDqC9UNdrTzYesmJrN8FLrTwefKuU1xOXMH41reRWu6GA4Lcm1_WzeojaJ-Sr-ASgBnLcFoO8Oq2HTqMyE6gAWVE6WcN7FxhGeSs_EIzlm,,,,,,,,,,,,
574,jobtech,Junior Consulente,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.9<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=2005&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_74fa5f63&cb=1675595550829&jobListingId=1008450333689&cpc=5B877AD962FD223B&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-f1e5a89fb05ce068--6NYlbfkN0BhUQ-HNNcduSXnf43rV2y15v0z_WsvNujsSbY0-jJgEbUfKhyj0sSjcKj9mUwwW1EA00mLSRkiuNVLzHgifVjNwYvLxqgXS_7d4M-fvZhyoTqvp0hsQldu00DdUaYNGp739IVG6k-CW0FRiVWyNeFHfTlmC1okIW93CSQnNGiUmat__L0MSixvAkrMu3qZIjh43rYv-jVxCY4CTL6shkaaE_53VGprDxBvnjr2IQSj6v8fY3uXaZI5jphnDofl7bn5a_HhctET6AGYqmIaiQWKk3WPCvU2TLErsSrdCpsw9cE2S_zfuFgx9SGXKnUEhDH1zPbcQrHyr9v-xWuf9Jfv42dYvFrZYFKtOACsMSAOZtIQ0cCq7exvflO4AXRben9_7ZpAAnyb1k31_11K_qFOejRnwQQ-LTyTbNISwzxwmWxMUrZJrTJyydwELVrFtXIRycMbJxZNCDUoyCJJ40vOcSEEVA-0trGTX4-wkMGf3jgJmCa-r6NabIbU2Um-MsPAyD7eMq6ypYt51L06hcBMFxMxdSl1o5zWj9gRM9okYYjpDbsy7Bk_3ppmROyOr6PrTnytqsS455O5T6gNOYqYcr0xUNa0qUqDTkhjdsIti-RjCFKDmMxQj85YUmHW-2FcCNMdB1Wu4OfnDie_Pslg0Ia_hJd7wS81CVTYUAfckg%3D%3D,,,,,,,,,,,,
575,GIGROUP,Operaio di Produzione,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2006&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_82661954&cb=1675595550829&jobListingId=1008431241559&cpc=8B80225A009F6369&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-798fd8ebf8fbf6b9--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIFguEYiETH_45houfHFtSLQGS8G0gQ5r3fnq6PO5Elb74gohEXjsVlFDd04XlJj2gQEHg-XLceMi3iAror-0DVny0x7ADY3L4g13nYvGLZo5xOVdpfYKCrykwBJiArIticGPcjjTsCmVlkNZzLkWT-K-f7kdhJswc90B_aMEDFs1EjvpspPStyVpYuT0f6Gtr0ajL24Cfn6yht1vuDDZdI0KttwxtFNeo1ofjDpNMycSwdDOYiSdoAYTnm7m-10ieIkH87oS27qMJ5ugECgxy621pbUKamBNWLdOZZ5epall_xwsZECpY4dT0WmBObmv0BxM41dD2dW7KsQm9Z9801h-m2Xa7S_NY2QKdOrKB5LMrkzJD2vtdktKzJuPO1JOrn5Le1JUhCZGvvtcAbVkJnrXtD5MJlQTF7AywrEtfY59BkaeBjIiJ6bF-WOTqAqtPbgd02HUhpO3RtBUCSqDsvHPnCcTk-PaFf6A4F9fiSD3Q31BY8fs3xzRHcrr4EemQ0IQyOh0lDS4shK3wPnjKFCOixeKdKwMchDn3maHrUWYJAnvjKvFhJILUQo6RBqtV7r9GQ8LyHx_vQHOd1wZTm8D-AYqE8oxCBxNPVc7Lxh-xoy0C_UjG6R7WR1UJDhsFXTSQhVS9ZyCPM4CxzaCEDuCnts9tQpS8iAIrpgp5RLYjTkbAzHNk8XV3NacOAi9EsDzMu87-d_YAjmSwqJDIAE09OvbPoUSSB_ZcZTZz0pVzItKhkQCFqO8FriyRTWEwzPLmFwyqMbWneqt62y-HGWCJTK1e7aAO-j1YrWlb5DQvgHkvzft1sYIRtJpaZ2R2l3NXJmt9QcvVqD3Ie74Gy3KIGlXqSltlCzogpGP4lTe6zIWp2FsHq5x2Bz49cI6cN-U-YEVQL_VV1Wp_x_HZzY-teVdvc6j3k5bzfHdnDmOk1lPyECr1QhNQ9BCFDCTCZkOxA4WDf2scUMODbYF6ykytiR9Uw0lIkma0DFm7T3LvXKp18LnoF6nqvVZo6FjEEn7re56Tml_C6cEi9R3wJjPSuvNSQofBtb6fCOcyybjtO3BgdFMlcHY9KbAMLkmWXTuLL1aRltFVdM00hHC6Ccnvx9lN90wjwRC55VmWYByWwS6rXahv9YgadO41ZD_93d1GeQi4EUqAkfqximfm-wGIYIWLSpWFBhJVzJhTO-,,,,,,,,,,,,
576,A2A S.p.A.,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.2<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2007&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_9df6cbbc&cb=1675595550829&jobListingId=1007243344510&cpc=1AD9FB1E01C94A37&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-1026fd492a16775b--6NYlbfkN0Bz6Vm0KKZgK3IGyqtYIgq3B3aSN1YYDISHIR3HLJ50iQM1f8FF86k3eNG5riA4MSz2Mm_nTByEclbhMbXDir2bUdFwx_x8fYVYj766ChpBf4mya8_IUc8RA6hwLKUWFEWxCnmzwJiY9F8P5nu-W4pt8EuJKQijRya0ULCFuvo7PLZ46ltTknkfLkxeIRRztSvmDsgq1EVY1xkxjrfrKP35En65lh3vSXbsGzK6SG6yW4dKb_Tyn_1iAuNijjtowJAEdu13IZn2IpeBXxOFjZGc7546D_Ipnh7x8qBDfwwCFMIjG2YaQEyi0n31sL26bUsuZBQICXi0dEvNksxmU4GM5iSgW8TqZWDW_Kaxkn8dnXBA7J96jtGNHZovmlK1VoJvaUFruyROZBJyi1N9UWlc5lVc2k1TVcAppPAE9gElgdS8WTx2-tItyZO7zHpJzs5u5R5rzQ0e46-cJDxXVlGnKpImanZ9g7w062A4lR-wNluJaxaalhaCYMoNj4GRynkM-HNC5kOKtZsDI7ould8MePepS_TK_R-WgedwTXDf1GE5Bgj1K6V9v56l7XfVStkvZ1BkBFvYm4ArPf3U9SMnGgVV1yaBd7NsJyZAgP0wiQ%3D%3D,,,,,,,,,,,,
577,Gruppo Coopselios,Receptionist,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2008&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4d0bee45&cb=1675595550829&jobListingId=1008165487023&cpc=6A22310A23505C64&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-80e84bdb4e8ec3d4--6NYlbfkN0BxQOEvJzLbFPY4r7xmFVfGTKei_eIpiF1TYD1OvgvSnFb_iDxKG-elbxREYFoBdUPDrkCu0_9qGL-R1BPMAelr-gE1AFTWqdQQskz6iZSvnOTNZM0k-_JUUuVPr48EVrhyBSCWSK3o4lVoFrtTY90JDyKE_OihK-zHsIQqHdgxIwsnnTErAofYyn52dDUdAMEEZqKdKP6poNdbdsSiDL3j5f9qHo6po2d3ZY4YccMVYcnSgxjNYwfrEB6vgMmwP1RItn0CWHVjHB0LPYZgEeBOIZ-D_YnITIsPDgNVQUIQY6ZJ4cBHLZkcLtSlMMHulaRYsxYlyeDupE8Cqy2H46_NLLMJQp46DU4PwIyzyRWp353mkbh039WTOH8TKG3qFkO2LUBweF1-FhMSydsTVPkEXcmwnvQtPzqfZbJZpSaOkx9Ac5KHIXWVO9HvO9r6ueZQPKeXGmU_sj9n65jXLUQSF76LxXAoGibiHH4U3KO3f652s7rUQK8uiSrHWJ9d1EJ5TRpV6xwf8i84d5jAFIJrhbc1DDQ7GPjq80RQYBQhsKHZ4rLznfncrdJgysIM4eobq77wawOu2d-ud8yf3dVklSs_eWKk30RbtwWt80iX9aaQxYFG97zyRQRrzNiIKqYs0uuurvbLkw%3D%3D,,,,,,,,,,,,
578,STMicroelectronics,Process Engineer,Agrate Brianza,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2009&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_9635913d&cb=1675595550829&jobListingId=1008444145959&cpc=117F6BB3C9C96699&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-1c5c5d2063dba958--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXNCj8boDgC4SSsKuz0NPic1FsWzlqn4E_MzobqU_XLN66OQItPS8F2I8uezsKCeQ4JdRCPww7H21_DsQfmCV150Mll9RWKgH-0SYWwAJiwVTtXACvEBrA95Md9kW8iPqWTijj_WazsQ3-4xmWVtUo4_XeaZKJ3Neh80vvluj9WqzKLzpzIlPu5cIxxNluaszELCmHHA1Ff48HUe5CdcP2hKijoqvwGCpZsS6HfIQPtU00ejXYEZyOcZLK-fig4OeWSRpdmaC-c3kXq6i5iIsGbEj1Crv8bAaFd83JmL96CaVOgcayyDAlQbeGtJ77APA2qadQ32I0dFN879vShV95hHaada7CvE0EgWGE-bgZPFCs3J15lwmj_kjShAZJ9FmT0vI3HRkhKBNZaOAB-bzhczW3Gx7Y0kPRR8Z86vXrT_8FJuKdWSfsOEsKX5yKY-Yia1CqwFitP5U-RDKeTlbpTS4AUphwM_pJxJQg_1GvGmrk82nRsb2-DAHl25f6joRvrqt-vyFvgSlW-oFny9kjl9PvObFpLGfpyX6SBPcfoH3fc6CCEhd517v0X7xKG9uEPUF-0fbajzIOCI84VZw7vASthcgdE-pMc%3D,,,,,,,,,,,,
579,Bricocenter Italia,Responsabile,Rozzano,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=2010&ao=1110586&s=58&guid=0000018621470e84b90727e3598369c9&src=GD_JOB_AD&t=SR&vt=w&cs=1_1e2cee15&cb=1675595550829&jobListingId=1008258514848&cpc=3F31A6B851F28AB5&jrtk=3-0-1gogke3l2j4jn801-1gogke3lngagj800-fdf2d68e3197e241--6NYlbfkN0CBffRwqXny1LHmaCe0TtrzXzqusl9qR6OLHfF3XM_YcANnN0udkX4C2ncKNAj0PLobQWJ9ax3HIpSnLahHmPJL8-eYtFdvJaZoC5xJKqGjVJ3qFqz-r-N-_GFGZuOraPOMonyNKo8fXZVDXktHMNU31vQrW6tyrrpiBJIYi5GUiLQDXiICOYSDj7MyrVouYadhhUcL1UCsavUoV6PNh5R1KJDbDeoazN2syGY5UbX0P178w8wmfzpVI0cxGsqtjiWIq-xaWQByh4aAFy7OMU3DxjBpfuvP6qmirb19dbQuI0gqGXwOyTv0xKay5CbnouEc5SL6rOpFjKACuj_kcW1oC4PqvH7IHzi309B5dm6WtUTMaZ6MFTd5a-srIber27zlu4UTrfNqi3DdqJyhdKLrxbnMpC2VvrPECSqp5OvS8zDwONbBfFFNBeH2trSM-K_M-3N3q5OGEjdW-LgZkpMCkc-NEMR_RoTH70EKfyRM3aUhcXn9geIqcGE5DKVI7fpt_R46B7Wt-RdrwXC-4-pL2lV9rzMKf4yHtl9cFsqTtJIpnK4kqRbNeCTdcIHRL8WuBOJvtAHqreFenz1ncPtmZTXwLoUKYCA%3D,,,,,,,,,,,,
